Player,Team,IP,K,ERA,WHIP
Greg Holland,ARI,35.2,41,4.54,1.37
Tyson Ross,DET,35.1,25,6.11,1.67
Jose Cisnero,DET,35.1,40,4.33,1.53
Geoff Hartlieb,PIT,35,38,9,2
Dustin May,LAD,34.2,32,3.63,1.1
Nick Kingham,PIT,34.2,32,9.87,2.05
Carlos Rodon,CWS,34.2,46,5.19,1.44
Robert Dugger,MIA,34.1,25,5.77,1.46
Wandy Peralta,CIN,34,27,6.09,1.5
Yency Almonte,COL,34,29,5.56,1.56
Elvis Luciano,TOR,33.2,27,5.35,1.78
Rowan Wick,CHC,33.1,35,2.43,1.14
Tim Melville,COL,33.1,24,4.86,1.44
Fernando Rodney,WAS,33.1,35,4.05,1.35
Andrew Suarez,SF,32.2,25,5.79,1.62
J.B. Wendelken,OAK,32.2,34,3.58,0.92
Jerry Blevins,ATL,32.1,37,3.9,1.27
Jeffrey Springs,TEX,32.1,32,6.4,1.89
Jacob Webb,ATL,32.1,28,1.39,1.11
Matt Bowman,CIN,32,25,3.66,1.25
Luis Avilan,NYM,32,30,5.06,1.47
Sean Reid-Foley,TOR,31.2,28,4.26,1.71
Jonathan Loaisiga,NYY,31.2,37,4.55,1.48
Jake Newberry,KC,31,29,3.77,1.45
Austin Adams,SEA,31,51,3.77,1.1
Josh A. Smith,BOS,31,29,5.81,1.42
Wilmer Font,NYM,31,24,4.94,1.35
Tyler Olson,CLE,30.2,28,4.4,1.63
Nick Vincent,SF,30.2,30,5.58,1.43
Jay Jackson,MIL,30.1,47,4.45,1.32
Stefan Crichton,ARI,30.1,33,3.56,1.02
Darwinzon Hernandez,BOS,30.1,57,4.45,1.75
Jose Alvarado,TB,30,39,4.8,1.87
Michel Baez,SD,29.2,28,3.03,1.31
Jose Quijada,MIA,29.2,44,5.76,1.79
Dan Otero,CLE,29.2,16,4.85,1.52
Adam Morgan,PHI,29.2,29,3.94,1.01
Sean Manaea,OAK,29.2,30,1.21,0.78
Keone Kela,PIT,29.2,33,2.12,1.01
A.J. Minter,ATL,29.1,35,7.06,2.01
Brian Flynn,KC,29.1,22,5.22,1.88
Chris Stratton,LAA,29.1,22,8.59,2.08
Rafael Montero,TEX,29,34,2.48,0.97
Matt Wisler,SD,29,34,5.28,1.52
Chad Sobotka,ATL,29,38,6.21,1.62
Daniel Stumpf,DET,29,28,4.34,1.72
Hunter Wood,TB,29,24,2.48,1.14
Jordan Hicks,STL,28.2,31,3.14,0.94
Matt Shoemaker,TOR,28.2,24,1.57,0.87
Adam Warren,SD,28.2,25,5.34,1.4
Edwin Jackson,TOR,28.1,19,11.12,2.19
Matt Magill,MIN,28.1,36,4.45,1.59
Randy Dobnak,MIN,28.1,23,1.59,1.13
Evan Phillips,BAL,28,40,6.43,1.86
Zac Reininger,DET,28,17,8.68,2.14
Mike Morin,PHI,28,15,5.79,1.21
Sam Coonrod,SF,27.2,20,3.58,1.23
Lewis Thorpe,MIN,27.2,31,6.18,1.73
Hector Noesi,MIA,27.2,24,8.46,1.59
Juan Minaya,CWS,27.2,27,3.9,1.55
Carson Fulmer,CWS,27.1,25,6.26,1.68
Wei-Chung Wang,OAK,27,16,3.33,1.22
Casey Sadler,LAD,27,20,2.33,1.22
Mike Montgomery,CHC,27,18,5.67,1.78
Brad Boxberger,KC,26.2,27,5.4,1.58
Brock Burke,TEX,26.2,14,7.43,1.54
Alex McRae,PIT,26.2,19,8.78,1.95
Jake Jewell,LAA,26.1,23,6.84,1.37
Tanner Scott,BAL,26.1,37,4.78,1.78
Drew Pomeranz,MIL,26.1,45,2.39,0.91
Taylor Guerrieri,TEX,26.1,27,5.81,1.82
A.J. Cole,CLE,26,30,3.81,1.5
Gerardo Reyes,SD,26,38,7.62,1.35
Kyle Barraclough,WAS,25.2,30,6.66,1.75
Hector Santiago,CWS,25.2,34,6.66,1.91
Kohl Stewart,MIN,25.1,10,6.39,1.46
Logan Allen,SD,25.1,14,6.75,1.82
Chance Adams,NYY,25.1,23,8.53,1.97
D.J. Johnson,COL,25,24,5.04,1.68
Cody Stashak,MIN,25,25,3.24,1.2
Blake Parker,PHI,25,31,5.04,1
Daniel Hudson,WAS,25,23,1.44,0.88
Joe Smith,HOU,25,22,1.8,0.96
Shane Greene,ATL,24.2,21,4.01,1.22
Stephen Tarpley,NYY,24.2,34,6.93,1.99
Seranthony Dominguez,PHI,24.2,29,4.01,1.46
Brad Wieck,SD,24.2,31,6.57,1.42
Phil Maton,SD,24.1,20,7.77,1.64
Kevin Ginkel,ARI,24.1,28,1.48,0.99
Jandel Gustave,SF,24.1,14,2.96,1.11
Drew Gagnon,NYM,23.2,17,8.37,1.73
Marco Estrada,OAK,23.2,11,6.85,1.31
Connor Sadzeck,SEA,23.2,27,2.66,1.39
Travis Lakins,BOS,23.1,18,3.86,1.41
Matt Hall,DET,23.1,27,7.71,1.84
Trevor Richards,TB,23.1,24,1.93,1.2
Emmanuel Clase,TEX,23.1,21,2.31,1.11
Zach Duke,CIN,23.1,18,5.01,1.67
Jared Hughes,PHI,23,20,3.91,1.04
Sam Tuivailala,SEA,23,27,2.35,1.04
Cody Allen,LAA,23,29,6.26,1.91
Andres Munoz,SD,23,30,3.91,1.17
T.J. Zeuch,TOR,22.2,20,4.76,1.46
Walker Lockett,NYM,22.2,16,8.34,1.72
Mike Morin,MIN,22.2,11,3.18,0.97
Sergio Romo,MIN,22.2,27,3.18,0.93
Kevin Gausman,CIN,22.1,29,4.03,1.16
Matt Wisler,SEA,22.1,29,6.04,1.25
Matt Magill,SEA,22.1,28,3.63,1.16
Heath Fillmyer,KC,22.1,15,8.06,1.79
Tanner Anderson,OAK,22.1,18,6.04,1.66
Kyle Dowdy,TEX,22.1,17,7.25,1.97
Matt Festa,SEA,22.1,21,5.64,1.43
Pedro Payano,TEX,22,17,5.73,1.86
Tyler Bashlor,NYM,22,20,6.95,1.73
Jimmy Nelson,MIL,22,26,6.95,1.91
Jason Adam,TOR,21.2,18,2.91,1.15
Ryan Tepera,TOR,21.2,14,4.98,1.29
Dan Winkler,ATL,21.2,22,4.98,1.34
Brock Stewart,TOR,21.2,16,8.31,1.57
Nick Anderson,TB,21.1,41,2.11,0.66
Cy Sneed,HOU,21.1,23,5.48,1.45
JT Chargois,LAD,21.1,28,6.33,1.22
Ryne Stanek,MIA,21.1,28,5.48,1.69
Nick Kingham,TOR,21,14,3,1.52
Hunter Strickland,WAS,21,15,5.14,1.33
Mark Melancon,ATL,21,24,3.86,1.14
Tony Sipp,WAS,21,18,4.71,1.33
Eric Skoglund,KC,21,4,9,1.86
Dillon Tate,BAL,21,20,6.43,1.29
Reggie McClain,SEA,21,11,6,1.67
Austin Davis,PHI,20.2,24,6.53,1.74
Ty Blach,BAL,20.2,17,11.32,2.18
Tyler Anderson,COL,20.2,23,11.76,2.13
Matt Koch,ARI,20.2,9,9.15,1.6
Craig Kimbrel,CHC,20.2,30,6.53,1.6
Jake Diekman,OAK,20.1,21,4.43,1.57
Genesis Cabrera,STL,20.1,19,4.87,1.67
Mike Shawaryn,BOS,20.1,29,9.74,1.92
Bryse Wilson,ATL,20,16,7.2,1.8
Richard Lovelady,KC,20,17,7.65,1.9
Buddy Boshers,TOR,20,26,4.05,1.5
Ryan Burr,CWS,19.2,20,4.58,1.27
Travis Bergen,SF,19.2,18,5.49,1.37
Kyle Wright,ATL,19.2,18,8.69,1.88
Ronald Bolanos,SD,19.2,19,5.95,1.47
Paul Sewald,NYM,19.2,22,4.58,1.07
Jacob Barnes,MIL,19.2,22,6.86,1.68
Jose Rodriguez,LAA,19.2,13,2.75,1.42
Corbin Martin,HOU,19.1,19,5.59,1.81
David McKay,DET,19.1,29,5.59,1.24
Wes Parsons,COL,19.1,14,6.98,1.91
Casey Sadler,TB,19.1,11,1.86,1.09
Josh Staumont,KC,19.1,15,3.72,1.6
Sam Howard,COL,19,23,6.63,1.63
Mike Mayers,STL,19,16,6.63,1.68
Chandler Shepherd,BAL,19,17,6.63,1.53
JD Hammer,PHI,19,13,3.79,1.42
Tyler Thornburg,BOS,18.2,22,7.71,1.66
Aaron Sanchez,HOU,18.2,16,4.82,1.23
Seunghwan Oh,COL,18.1,16,9.33,1.91
Kyle Zimmer,KC,18.1,18,10.8,2.56
Brent Suter,MIL,18.1,15,0.49,0.6
James Sherfy,ARI,18.1,22,5.89,1.53
Rogelio Armenteros,HOU,18,18,4,1.22
Pat Neshek,PHI,18,9,5,1.39
Mike Dunn,COL,17.2,15,7.13,1.3
Chris Martin,ATL,17.2,22,4.08,1.02
Tyler Rogers,SF,17.2,16,1.02,0.85
James Marvel,PIT,17.1,9,8.31,1.79
Zac Grotz,SEA,17.1,18,4.15,1.27
Montana DuRapau,PIT,17.1,22,9.35,2.08
Parker Markel,PIT,17.1,21,5.71,1.67
Scott Alexander,LAD,17.1,9,3.63,1.38
David Phelps,TOR,17.1,18,3.63,1.21
David Phelps,CHC,17,18,3.18,1.59
Conner Menez,SF,17,22,5.29,1.47
Jonathan Hernandez,TEX,16.2,19,4.32,1.62
Joe Palumbo,TEX,16.2,21,9.18,1.74
Chasen Bradford,SEA,16.2,11,4.86,1.26
Neil Ramirez,CLE,16.2,18,5.4,1.62
Sal Romano,CIN,16.1,16,7.71,1.84
Hunter Wood,CLE,16.1,15,3.86,1.53
Trevor Hildenberger,MIN,16.1,15,10.47,2.27
Chris Mazza,NYM,16.1,11,5.51,1.59
Phillips Valdez,TEX,16,18,3.94,1.63
Aaron Wilkerson,MIL,16,11,7.31,2.13
Kyle McGowin,WAS,16,18,10.13,1.63
Zack Godley,TOR,16,12,3.94,1.38
Mike Wright Jr.,SEA,16,16,6.75,1.81
Edinson Volquez,TEX,16,10,6.75,2
Johnny Cueto,SF,16,13,5.06,1.25
Derek Holland,CHC,15.2,11,6.89,1.53
Justin Miller,WAS,15.2,11,4.02,1.28
Josh Lucas,BAL,15.2,16,5.74,1.34
Reed Garrett,DET,15.1,10,8.22,2.41
Wes Parsons,ATL,15.1,12,3.52,1.57
Jordan Romano,TOR,15.1,21,7.63,1.7
Carl Edwards Jr.,CHC,15.1,17,5.87,1.11
Adalberto Mejia,MIN,15.1,15,8.8,1.83
Jeanmar Gomez,TEX,15.1,10,8.22,1.89
Edubray Ramos,PHI,15,11,5.4,1.73
Taylor Williams,MIL,14.2,15,9.82,1.98
Brad Brach,NYM,14.2,15,3.68,1.23
Jhoulys Chacin,BOS,14.2,21,7.36,1.57
Joe Biagini,HOU,14.2,10,7.36,2.05
Dan Altavilla,SEA,14.2,18,5.52,1.43
Drew Steckenrider,MIA,14.1,14,6.28,0.98
Josh Rogers,BAL,14.1,5,8.79,1.67
Fernando Rodney,OAK,14.1,14,9.42,2.23
Wilmer Font,TB,14,18,5.79,1.43
Cory Gearrin,NYY,14,8,4.5,1.5
Javy Guerra,TOR,14,15,3.86,1.21
Austin Adams,DET,14,9,5.14,1.71
Nick Vincent,PHI,14,17,1.93,1.07
Ray Black,MIL,14,13,5.14,1.29
Zac Rosscup,SEA,14,20,3.21,1.93
Fernando Romero,MIN,14,18,7.07,2.14
Yefry Ramirez,PIT,14,16,7.71,1.86
Anthony Kay,TOR,14,13,5.79,1.43
Chris Flexen,NYM,13.2,10,6.59,2.05
Nick Tropeano,LAA,13.2,10,9.88,1.76
Devin Williams,MIL,13.2,14,3.95,1.76
Anthony Swarzak,SEA,13.2,17,5.27,1.61
Ervin Santana,CWS,13.1,5,9.45,1.88
Odrisamer Despaigne,CWS,13.1,7,9.45,2.33
Luke Farrell,TEX,13.1,12,2.7,0.68
Mike Wright Jr.,BAL,13.1,14,9.45,2.03
Adalberto Mejia,LAA,13,13,3.46,1.31
Fernando Abad,SF,13,9,4.15,0.92
Jacob Barnes,KC,13,10,8.31,1.92
John Schreiber,DET,13,19,6.23,1.54
Kyle Bird,TEX,12.2,10,7.82,2.05
Burch Smith,MIL,12.2,14,7.82,2.05
Alex Cobb,BAL,12.1,8,10.95,1.86
Ian Gibaut,TEX,12.1,14,5.11,1.54
Adbert Alzolay,CHC,12.1,13,7.3,1.78
Phil Maton,CLE,12.1,13,2.92,0.81
Peter Fairbanks,TB,12.1,13,5.11,1.62
Taylor Guilbeau,SEA,12.1,7,3.65,1.05
Jesus Luzardo,OAK,12,16,1.5,0.67
Grant Dayton,ATL,12,14,3,1.33
Luis Severino,NYY,12,17,1.5,1
Adam Kolarek,LAD,11.2,9,0.77,0.94
Dillon Maples,CHC,11.2,18,5.4,1.37
Duane Underwood,CHC,11.2,13,5.4,1.37
Jesse Biddle,ATL,11.2,11,5.4,2.4
Junior Fernandez,STL,11.2,16,5.4,1.29
R.J. Alaniz,CIN,11.2,7,5.4,1.03
Bobby Poyner,BOS,11.2,11,6.94,1.29
Eric Yardley,SD,11.2,7,2.31,1.29
Sam Dyson,MIN,11.1,8,7.15,1.76
Alex Wilson,MIL,11.1,13,9.53,2.12
A.J. Puk,OAK,11.1,13,3.18,1.32
Paul Blackburn,OAK,11,8,10.64,2.09
Allen Webster,CHC,11,9,4.91,1.73
Jesse Biddle,SEA,11,8,9.82,2.45
David Bednar,SD,11,14,6.55,1.36
Enyel De Los Santos,PHI,11,9,7.36,1.64
Rookie Davis,PIT,10.2,10,6.75,1.88
Randy Rosario,CHC,10.2,10,5.91,1.59
Kyle Keller,MIA,10.2,11,3.38,1.22
Eduardo Jimenez,DET,10.2,8,5.91,1.59
Robert Stock,SD,10.2,15,10.13,2.06
Nate Jones,CWS,10.1,10,3.48,1.65
Sam Selman,SF,10.1,10,4.35,1.16
Yacksel Rios,PIT,10.1,10,5.23,1.45
James Pazos,COL,10.1,10,1.74,1.06
Yefry Ramirez,BAL,10.1,11,6.97,1.94
Harrison Musgrave,COL,10,12,3.6,1.6
Brad Wieck,CHC,10,18,3.6,0.6
Joe Harvey,NYY,10,11,4.5,1.8
Jake Faria,TB,10,11,2.7,1.7
Matt Moore,DET,10,9,0,0.4
Brian Schlitter,OAK,9.2,6,3.72,1.66
Matt Carasiti,SEA,9.2,10,4.66,1.66
Brusdar Graterol,MIN,9.2,10,4.66,1.24
Joel Kuhnel,CIN,9.2,9,4.66,1.34
Jeremy Walker,ATL,9.1,6,1.93,1.39
Miguel Del Pozo,LAA,9.1,11,10.61,1.93
James Norwood,CHC,9.1,11,2.89,1.82
Dovydas Neverauskas,PIT,9.1,10,10.61,2.36
Shane Carle,ATL,9.1,6,9.64,2.14
Josh Sborz,LAD,9,7,8,1.56
Trevor Rosenthal,DET,9,12,7,1.56
Cionel Perez,HOU,9,7,10,1.44
Ryan Dull,OAK,9,8,12,2.56
Gerson Bautista,SEA,9,7,11,2.44
Tayler Scott,BAL,8.2,7,18.69,2.88
Daniel Zamora,NYM,8.2,8,5.19,1.73
Bryan Abreu,HOU,8.2,13,1.04,0.81
Peter Fairbanks,TEX,8.2,15,9.35,1.73
Cody Anderson,CLE,8.2,9,9.35,2.31
Tyler Lyons,NYY,8.2,12,4.15,1.04
Jake Faria,MIL,8.2,8,11.42,2.65
Javy Guerra,SD,8.2,6,5.19,1.15
Nick Burdi,PIT,8.2,17,9.35,1.62
Tim Collins,CHC,8.2,4,3.12,1.38
Garrett Richards,SD,8.2,11,8.31,1.85
Burch Smith,SF,8.2,6,2.08,1.62
Neil Ramirez,TOR,8.1,6,5.4,1.68
Sean Poppen,MIN,8.1,9,7.56,1.8
Trevor Kelley,BOS,8.1,6,8.64,1.68
Josh D. Smith,CLE,8.1,12,5.4,1.92
James Hoyt,CLE,8.1,10,2.16,0.96
Kyle Barraclough,SF,8,10,2.25,1.75
Adrian Morejon,SD,8,9,10.13,2.25
Joe Harvey,COL,8,6,5.63,1.63
JC Ramirez,LAA,8,4,4.5,1.13
Jake Petricka,MIL,8,3,3.38,1.5
Jon Edwards,CLE,8,5,2.25,1.38
Hector Santiago,NYM,8,6,6.75,1.88
Ryan Eades,BAL,7.2,5,3.52,1.43
Keynan Middleton,LAA,7.2,6,1.17,1.43
Tayler Scott,SEA,7.2,7,9.39,2.22
Phillip Diehl,COL,7.1,8,7.36,1.64
Cole Sulser,TB,7.1,9,0,1.09
Tim Peterson,NYM,7.1,3,4.91,1.91
Gabe Speier,KC,7.1,10,7.36,1.5
Robby Scott,ARI,7.1,9,4.91,2.05
Ben Heller,NYY,7.1,9,1.23,1.23
Brooks Pounders,NYM,7.1,5,6.14,1.5
Thyago Vieira,CWS,7,8,9,2.29
David McKay,SEA,7,5,5.14,1.86
Stephen Nogosek,NYM,6.2,6,10.8,2.1
Corey Oswalt,NYM,6.2,5,12.15,2.25
Bryan Garcia,DET,6.2,7,12.15,2.1
Ryan Borucki,TOR,6.2,6,10.8,3.15
Donnie Hart,MIL,6.2,3,0,1.2
Justin Dunn,SEA,6.2,5,2.7,1.65
Locke St. John,TEX,6.2,5,5.4,1.65
David Robertson,PHI,6.2,6,5.4,2.1
Williams Jerez,SF,6.2,4,2.7,1.95
Trevor Rosenthal,WAS,6.1,5,22.74,3.63
Cody Reed,CIN,6.1,7,1.42,1.11
Hunter Harvey,BAL,6.1,11,1.42,1.11
Ty Blach,SF,6.1,3,14.21,2.84
Steven Wright,BOS,6.1,5,8.53,2.37
Brian Moran,MIA,6.1,10,4.26,1.26
Jacob Rhame,NYM,6.1,5,4.26,1.89
Miguel Diaz,SD,6.1,4,7.11,1.58
Jimmy Herget,CIN,6.1,0,4.26,1.74
Rico Garcia,COL,6,2,10.5,2.33
Drew Anderson,PHI,6,6,7.5,2
Carlos Torres,DET,6,8,7.5,1.67
Ryan Feierabend,TOR,5.2,4,11.12,2.12
Luke Gregerson,STL,5.2,2,7.94,2.12
Wei-Chieh Huang,TEX,5.2,2,3.18,2.29
Luis Escobar,PIT,5.2,2,7.94,2.47
Wandy Peralta,SF,5.2,5,3.18,0.88
Art Warren,SEA,5.1,5,0,0.75
Reymin Guduan,HOU,5.1,6,11.81,2.25
Pedro Avila,SD,5.1,5,1.69,1.13
Enderson Franco,SF,5.1,4,3.38,0.94
James Karinchak,CLE,5.1,8,1.69,0.75
Nate Karns,BAL,5.1,5,0,1.88
Darren O'Day,ATL,5.1,6,1.69,0.75
Tommy Hunter,PHI,5.1,5,0,0.38
Jesse Biddle,TEX,5.1,7,11.81,1.69
Michael Blazek,WAS,5,0,7.2,2.2
Brady Rodgers,HOU,5,4,16.2,2
Jaime Schultz,LAD,5,3,7.2,1.8
Dennis Santana,LAD,5,6,7.2,2
Yohander Mendez,TEX,4.2,8,5.79,1.93
Matt Wotherspoon,BAL,4.2,2,15.43,2.57
Parker Markel,SEA,4.2,3,15.43,3
Andrew Moore,SEA,4.2,2,7.71,1.5
Victor Arano,PHI,4.2,7,3.86,0.86
Jesse Hahn,KC,4.2,7,13.5,2.79
Dan Jennings,WAS,4.2,9,13.5,3.21
Jonny Venters,ATL,4.2,7,17.36,3.64
Josh D. Smith,MIA,4.1,2,8.31,1.38
Joel Payamps,ARI,4,3,4.5,1.75
R.J. Alaniz,SEA,4,6,20.25,3.5
Brock Stewart,LAD,4,3,18,2.75
Arodys Vizcaino,ATL,4,6,2.25,1.5
Wei-Chung Wang,PIT,4,2,6.75,2
Jordan Montgomery,NYY,4,5,6.75,1.75
Anthony Banda,TB,4,2,6.75,1.5
Jose De Leon,TB,4,7,2.25,1.5
Danny Salazar,CLE,4,2,4.5,1.75
Tyler Lyons,PIT,4,5,11.25,2.25
Hoby Milner,TB,3.2,3,7.36,1.36
Ryan Eades,MIN,3.2,5,0,1.64
Williams Jerez,PIT,3.2,5,7.36,2.18
Shawn Armstrong,SEA,3.2,3,14.73,3
Keury Mella,CIN,3.2,4,7.36,1.91
Jake Barrett,NYY,3.2,4,14.73,2.18
Randy Rosario,KC,3.2,3,0,0.82
Jose Fernandez,DET,3.2,2,17.18,3
Jonny Venters,WAS,3.1,5,5.4,1.5
Pat Venditte,SF,3.1,2,16.2,1.8
David Carpenter,TEX,3.1,2,5.4,2.4
Hunter Strickland,SEA,3.1,3,8.1,0.6
Danny Hultzen,CHC,3.1,5,0,1.8
Luis Ortiz,BAL,3.1,3,10.8,2.7
Aaron Loup,SD,3.1,5,0,0.9
Adalberto Mejia,STL,3,2,9,3
Huascar Ynoa,ATL,3,3,18,2.33
Roenis Elias,WAS,3,2,9,2
Alex Reyes,STL,3,1,15,2.67
Zac Rosscup,LAD,3,4,6,3
Erasmo Ramirez,BOS,3,1,12,1.67
Aaron Slegers,TB,3,0,3,1
Ryan Garton,SEA,3,1,12,1.67
Joe Mantiply,NYY,3,2,9,1.67
Yacksel Rios,PHI,2.2,2,13.5,3.38
Caleb Frare,CWS,2.2,3,10.13,2.25
Austin Adams,MIN,2.2,5,16.88,2.63
Fernando Salas,PHI,2.2,3,6.75,3
Brady Lail,NYY,2.2,2,10.13,1.13
Ricardo Pinto,TB,2.1,0,15.43,2.57
Sean Gilmartin,BAL,2.1,1,19.29,3.86
Aaron Barrett,WAS,2.1,1,15.43,3.86
John Curtiss,LAA,2.1,1,3.86,2.14
Logan Allen,CLE,2.1,3,0,1.29
Ryan Dull,NYY,2.1,4,19.29,3.43
Michael King,NYY,2,1,0,1
Ian Gibaut,TB,2,2,9,1.5
Adonis Rosa,NYY,2,2,4.5,0.5
Sam Freeman,LAA,2,0,4.5,2.5
Xavier Cedeno,CHC,2,1,0,3.5
Ray Black,SF,2,5,4.5,2.5
Chasen Shreve,STL,2,2,9,1.5
Carl Edwards Jr.,SD,1.2,2,32.4,4.8
Jorge Alcala,MIN,1.2,1,0,1.2
Ryan Dull,TOR,1.1,3,6.75,0.75
Jimmy Cordero,TOR,1.1,0,6.75,1.5
Tony Barnette,CHC,1.1,0,6.75,1.5
Ryan O'Rourke,NYM,1.1,1,0,2.25
Nick Rumbelow,SEA,1.1,2,27,3
Chase De Jong,MIN,1,0,36,6
Matt Ramsey,LAA,1,1,0,0
Chris Ellis,KC,1,0,0,2
Zac Rosscup,TOR,1,2,27,5
Ben Lively,KC,1,1,27,3
Chris Rusin,COL,1,0,36,6
Taijuan Walker,ARI,1,1,0,1
Donnie Hart,NYM,1,0,0,0
Austin Adams,WAS,1,2,9,2
Sandy Baez,DET,1,0,9,2
Yennsy Diaz,TOR,0.2,0,27,7.5
James Bourque,WAS,0.2,0,54,7.5
Pedro Araujo,BAL,0.2,0,27,4.5
Deolis Guerra,MIL,0.2,0,54,6
Dellin Betances,NYY,0.2,2,0,0
Jose Castillo,SD,0.2,2,0,1.5
Austen Williams,WAS,0.1,1,162,18
Taylor Hearn,TEX,0.1,0,108,21
